Campaign,Ad Group,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Headline 1 position,Headline 2 position,Headline 3 position,Headline 4 position,Headline 5 position,Headline 6 position,Headline 7 position,Headline 8 position,Headline 9 position,Headline 10 position,Headline 11 position,Headline 12 position,Headline 13 position,Headline 14 position,Headline 15 position,Description 1,Description 2,Description 3,Description 4,Description 1 position,Description 2 position,Description 3 position,Description 4 position,Status
BRAND | Dr. Weiser | AT | P1,Kanzleiname,Responsive search ad,https://drweiser.at/,Kanzlei,,"Kanzlei Dr. Weiser, Wien","Dr. Martin Weiser, Anwalt",Rechtsanwalt in Wien 1030,Offizielle Kanzleiseite,Landstraßer Hauptstr. 60,"U3 Rochusgasse, Wien 3",Kanzlei seit 1990,Termin & Kontakt,Familien- & Erbrecht,Immobilien & Treuhand,Gesellschaftsrecht Wien,Jetzt Termin anfragen,,,,1,,,,,,,,,,,,,,,"Die Kanzlei Dr. Martin Weiser in 1030 Wien. Familienrecht, Erbrecht, Immobilienrecht.","Landstraßer Hauptstraße 60, Eingang Rochusgasse 2. Termin nach Vereinbarung.",Rechtsanwaltskanzlei in Wien Landstraße seit 1990. Jetzt Kontakt aufnehmen.,"Persönliche Beratung in Familien-, Erb-, Immobilien- und Gesellschaftsrecht.",1,,,,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,Gesellschaftsrecht Allgemein,Responsive search ad,https://drweiser.at/gesellschaftsrecht,Gesellschaft,Wien,Gesellschaftsrecht Wien,Anwalt Unternehmensrecht,GmbH & FlexCo Beratung,Verträge & Beteiligung,Unternehmenskauf Wien,"Kanzlei Dr. Weiser, Wien 3",Rechtsanwalt seit 1990,Direkt mit dem Anwalt,Erstgespräch vereinbaren,"U3 Rochusgasse, Wien 3",Jetzt Termin anfragen,,,,,1,1,,,,,,,,,,,,,,"Gesellschafts- und Unternehmensrecht in Wien: Gründung, Verträge, Konflikte.",Anwaltskanzlei in 1030 Wien seit 1990. Beratung direkt durch den Anwalt.,"GmbH, FlexCo, Syndikatsverträge und Anteilsabtretungen aus einer Hand.","Kanzlei in Wien Landstraße, U3 Rochusgasse. Termin nach Vereinbarung.",1,,,,Enabled
SUCHE | Gesellschaftsrecht | Wien+25km | P1,GmbH FlexCo Gründung,Responsive search ad,https://drweiser.at/gesellschaftsrecht/gruendung,Gesellschaft,Wien,GmbH gründen in Wien,FlexCo gründen Anwalt,Flexible Kapitalgesellsch.,Gesellschaftsvertrag,GmbH oder FlexCo?,Firmenbuch & Gründung,Start-up Beratung Wien,"Kanzlei Dr. Weiser, Wien 3",Rechtsanwalt seit 1990,Klare Kostenauskunft,Jetzt Termin anfragen,,,,,1,1,,,,,,,,,,,,,,"GmbH oder FlexCo gründen: Rechtsformwahl, Vertrag und Firmenbuch in Wien.",Die Flexible Kapitalgesellschaft gibt es seit 2024. Wir prüfen,Anwaltskanzlei in 1030 Wien seit 1990. Honorar wird vorab besprochen.,"Termin nach Vereinbarung, U3 Rochusgasse. Telefonisch oder online anfragen.",1,,,,Enabled
SUCHE | Immobilien+Treuhand | Wien+NÖ | P1,Bauträger Bauvertrag,Responsive search ad,https://drweiser.at/immobilienrecht/bautraegervertrag,Immobilien,Wien,Bauträgervertrag Wien,Anwalt Bauvertrag Wien,Bauträgervertrag prüfen,Baumängel geltend machen,BTVG & Sicherungsmodell,Werkvertrag am Bau,"Kanzlei Dr. Weiser, Wien 3",Rechtsanwalt seit 1990,Erstgespräch vereinbaren,Jetzt Termin anfragen,,,,,,1,1,,,,,,,,,,,,,,Bauträgervertrag vor Unterschrift anwaltlich prüfen lassen. Kanzlei Wien 3.,"Sicherungsmodell, Ratenplan und Baumängel nach dem BTVG geprüft.",Anwaltskanzlei in 1030 Wien seit 1990. Wir nennen das Honorar vorab.,"Termin nach Vereinbarung, U3 Rochusgasse in Wien Landstraße.",1,,,,Enabled
SUCHE | Immobilien+Treuhand | Wien+NÖ | P1,Grundbuch Dienstbarkeit,Responsive search ad,https://drweiser.at/immobilienrecht/grundbuch,Immobilien,Wien,Grundbuch Anwalt Wien,Dienstbarkeit & Servitut,Wohnrecht eintragen,Fruchtgenussrecht,Grundbuchseintragung,"Kanzlei Dr. Weiser, Wien 3",Rechtsanwalt seit 1990,Erstgespräch vereinbaren,Jetzt Termin anfragen,,,,,,,1,1,,,,,,,,,,,,,,"Grundbuch, Dienstbarkeiten und Wohnrecht anwaltlich geregelt. Kanzlei Wien 3.","Servitut, Fruchtgenuss und Belastungsverbot rechtssicher vereinbart.",Anwaltskanzlei in 1030 Wien seit 1990. Termin nach Vereinbarung.,"Kanzlei in Wien Landstraße, U3 Rochusgasse. Jetzt Erstgespräch anfragen.",1,,,,Enabled
SUCHE | Immobilien+Treuhand | Wien+NÖ | P1,Immobilienrecht,Responsive search ad,https://drweiser.at/immobilienrecht,Immobilien,Wien,Immobilienrecht Wien,Anwalt Immobilien Wien,Liegenschaftsrecht,Kaufvertrag & Treuhand,Wohnungseigentum Wien,"Kanzlei Dr. Weiser, Wien 3",Rechtsanwalt seit 1990,Vertragserrichtung,Erstgespräch vereinbaren,"U3 Rochusgasse, Wien 3",Klare Kostenauskunft,Jetzt Termin anfragen,,,,1,1,,,,,,,,,,,,,,"Liegenschafts- und Immobilienrecht in Wien: Verträge, Treuhand, Grundbuch.",Anwaltskanzlei in 1030 Wien seit 1990. Persönliche Betreuung im Mandat.,Vertragserrichtung und Abwicklung aus einer Hand. Termin nach Vereinbarung.,"Kanzlei in Wien Landstraße, U3 Rochusgasse. Telefonisch oder online anfragen.",1,,,,Enabled
SUCHE | Immobilien+Treuhand | Wien+NÖ | P1,Kaufvertrag,Responsive search ad,https://drweiser.at/immobilienrecht/kaufvertrag,Immobilien,Wien,Kaufvertrag Immobilie,Anwalt Kaufvertrag Wien,Vertragserrichtung Wien,Kaufvertrag prüfen,Wohnung oder Haus kaufen,Inkl. Treuhandabwicklung,Grundbuch & Abwicklung,"Kanzlei Dr. Weiser, Wien 3",Rechtsanwalt seit 1990,Klare Kostenauskunft,Erstgespräch vereinbaren,Jetzt Termin anfragen,,,,1,1,,,,,,,,,,,,,,Kaufvertrag für Wohnung oder Haus errichten und prüfen. Kanzlei in Wien 3.,"Vertrag, Treuhandabwicklung und Grundbuchseintragung aus einer Hand.",Anwaltskanzlei in 1030 Wien seit 1990. Wir nennen das Honorar vorab.,"Termin nach Vereinbarung, U3 Rochusgasse. Telefonisch oder online anfragen.",1,,,,Enabled
SUCHE | Immobilien+Treuhand | Wien+NÖ | P1,Treuhand,Responsive search ad,https://drweiser.at/immobilienrecht/treuhand,Immobilien,Wien,Anwaltlicher Treuhänder,Treuhand Anwalt Wien,Treuhandabwicklung,Sichere Kaufabwicklung,Treuhandkonto Kanzlei,Liegenschaftskauf,"Kanzlei Dr. Weiser, Wien 3",Rechtsanwalt seit 1990,Ablauf & Kosten klären,Erstgespräch vereinbaren,Jetzt Termin anfragen,,,,,1,1,,,,,,,,,,,,,,Treuhandabwicklung beim Immobilienkauf durch die Anwaltskanzlei in Wien 3.,Kaufpreis und Grundbuch geordnet abgewickelt. Rechtsanwalt seit 1990.,Wir erklären Ihnen den Ablauf und die Kosten der Treuhandschaft vorab.,"Kanzlei in 1030 Wien, U3 Rochusgasse. Termin nach Vereinbarung.",1,,,,Enabled
SUCHE | Immobilien+Treuhand | Wien+NÖ | P1,Wohnungseigentum,Responsive search ad,https://drweiser.at/immobilienrecht/wohnungseigentum,Immobilien,Wien,Wohnungseigentum Wien,Anwalt Wohnungseigentum,Eigentümergemeinschaft,Streit mit Hausverwaltung,Wohnungseigentumsvertrag,Nutzwerte & WEG,"Kanzlei Dr. Weiser, Wien 3",Rechtsanwalt seit 1990,Erstgespräch vereinbaren,Klare Kostenauskunft,Jetzt Termin anfragen,,,,,1,1,,,,,,,,,,,,,,Wohnungseigentumsrecht in Wien. Verträge und Konflikte in der Gemeinschaft.,"Wohnungseigentumsvertrag, Nutzwerte und Beschlüsse anwaltlich geprüft.",Anwaltskanzlei in 1030 Wien seit 1990. Termin nach Vereinbarung.,"Kanzlei in Wien Landstraße, U3 Rochusgasse. Jetzt Erstgespräch anfragen.",1,,,,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Ehevertrag,Responsive search ad,https://drweiser.at/familienrecht/ehevertrag,Familienrecht,Wien,Ehevertrag Anwalt Wien,Ehevertrag erstellen,Ehepakt & Partnerschaft,Partnerschaftsvertrag,Vermögen absichern,"Kanzlei Dr. Weiser, Wien 3",Rechtsanwalt seit 1990,Individuell gestaltet,Erstgespräch vereinbaren,Klare Kostenauskunft,Jetzt Termin anfragen,,,,,1,1,,,,,,,,,,,,,,Ehevertrag und Partnerschaftsvertrag individuell gestaltet. Kanzlei in Wien 3.,Vorsorge für Vermögen und Ehewohnung. Anwaltliche Beratung seit 1990.,Wir besprechen Ihre Ziele und setzen die Vereinbarung rechtssicher auf.,"Kanzlei in 1030 Wien, U3 Rochusgasse. Termin nach Vereinbarung.",1,,,,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Einvernehmliche Scheidung,Responsive search ad,https://drweiser.at/scheidung/einvernehmlich,Scheidung,Wien,Einvernehmliche Scheidung,Anwalt Scheidung Wien,Scheidung ohne Streit,Scheidung nach § 55a,Scheidungsvergleich,Ablauf & Kosten klären,"Kanzlei Dr. Weiser, Wien 3",Rechtsanwalt seit 1990,Vereinbarung aufsetzen,Termin nach Vereinbarung,Diskret und persönlich,Jetzt Termin anfragen,,,,1,1,,,,,,,,,,,,,,Einvernehmliche Scheidung nach § 55a EheG. Anwaltliche Begleitung in Wien.,"Wir erstellen die Scheidungsvereinbarung: Unterhalt, Obsorge, Vermögen.","Kanzlei in 1030 Wien seit 1990. Ablauf, Dauer und Kosten im Erstgespräch.",Termin telefonisch oder online vereinbaren. U3 Rochusgasse in Wien 3.,1,,,,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Kosten Honorar,Responsive search ad,https://drweiser.at/scheidung/kosten,Scheidung,Kosten,Scheidungskosten Wien,Was kostet die Scheidung,Honorar transparent,Kosten vorab besprechen,Gerichtskosten & Honorar,"Kanzlei Dr. Weiser, Wien 3",Rechtsanwalt seit 1990,Keine Überraschungen,Erstgespräch vereinbaren,Jetzt Termin anfragen,,,,,,1,1,,,,,,,,,,,,,,Woraus sich die Kosten einer Scheidung zusammensetzen: Überblick der Kanzlei.,"Gerichtsgebühren, Honorar und Aufteilung der Kosten verständlich erklärt.",Wir besprechen die Kosten vorab und halten die Vereinbarung schriftlich fest.,"Anwaltskanzlei in 1030 Wien seit 1990. Termin nach Vereinbarung, U3 Rochusgasse.",1,,,,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Obsorge Kontaktrecht,Responsive search ad,https://drweiser.at/familienrecht/obsorge,Familienrecht,Wien,Anwalt Obsorge Wien,Kontaktrecht Anwalt Wien,Sorgerecht & Obsorge,Alleinige Obsorge,Besuchsrecht regeln,Obsorgestreit Wien,"Kanzlei Dr. Weiser, Wien 3",Rechtsanwalt seit 1990,Im Sinne des Kindes,Erstgespräch vereinbaren,Diskret und persönlich,Jetzt Termin anfragen,,,,1,1,,,,,,,,,,,,,,Obsorge und Kontaktrecht in Wien. Anwaltliche Vertretung seit 1990.,"Obsorgeregelung, Kontaktrecht und Vertretung im Pflegschaftsverfahren.",Wir besprechen Ihre Situation und die Möglichkeiten für eine Regelung.,"Kanzlei in 1030 Wien, U3 Rochusgasse. Termin nach Vereinbarung.",1,,,,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Scheidungsanwalt,Responsive search ad,https://drweiser.at/scheidung,Scheidung,Wien,Scheidungsanwalt Wien,Anwalt für Scheidung Wien,Rechtsanwalt Familienrecht,"Kanzlei Dr. Weiser, Wien 3",Rechtsanwalt seit 1990,Erstgespräch vereinbaren,Termin nach Vereinbarung,Diskret und persönlich,Einvernehmlich scheiden,Scheidung & Unterhalt,Obsorge & Kontaktrecht,"U3 Rochusgasse, Wien 3",Klare Kostenauskunft,Direkt mit dem Anwalt,Jetzt Termin anfragen,1,1,,,,,,,,,,,,,,"Anwaltskanzlei in Wien Landstraße seit 1990. Scheidung, Unterhalt, Obsorge.",Persönliche Betreuung durch den Anwalt selbst. Termin nach Vereinbarung.,Einvernehmlich oder strittig: Wir besprechen Ihre Möglichkeiten und die Kosten.,"Kanzlei in 1030 Wien, U3 Rochusgasse. Jetzt telefonisch oder online anfragen.",1,,,,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Strittige Scheidung,Responsive search ad,https://drweiser.at/scheidung/strittig,Scheidung,Wien,Strittige Scheidung Wien,Anwalt Scheidungsklage,Scheidung ohne Zustimmung,Vertretung vor Gericht,Scheidung aus Verschulden,"Kanzlei Dr. Weiser, Wien 3",Rechtsanwalt seit 1990,Ihre Rechte durchsetzen,Erstgespräch vereinbaren,Diskret und persönlich,Klare Kostenauskunft,Jetzt Termin anfragen,,,,1,1,,,,,,,,,,,,,,Vertretung im streitigen Scheidungsverfahren. Anwaltskanzlei in 1030 Wien.,"Scheidungsklage, Verschuldensfrage, Unterhalt und Aufteilung. Seit 1990.",Wir prüfen Ihre Ausgangslage und besprechen das weitere Vorgehen mit Ihnen.,Termin nach Vereinbarung in Wien Landstraße. U3 Rochusgasse. Jetzt anfragen.,1,,,,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Unterhalt,Responsive search ad,https://drweiser.at/familienrecht/unterhalt,Familienrecht,Wien,Anwalt Unterhalt Wien,Kindesunterhalt Anwalt,Ehegattenunterhalt Wien,Unterhalt durchsetzen,Unterhalt herabsetzen,Unterhaltsklage Wien,"Kanzlei Dr. Weiser, Wien 3",Rechtsanwalt seit 1990,Anspruch prüfen lassen,Erstgespräch vereinbaren,Klare Kostenauskunft,Jetzt Termin anfragen,,,,1,1,,,,,,,,,,,,,,Kindes- und Ehegattenunterhalt in Wien. Durchsetzen oder Herabsetzung prüfen.,Anwaltskanzlei in 1030 Wien seit 1990. Wir berechnen Ihren Anspruch.,Unterhalt wird nicht gezahlt? Wir besprechen die rechtlichen Schritte.,Termin nach Vereinbarung. U3 Rochusgasse. Telefonisch oder online anfragen.,1,,,,Enabled
SUCHE | Scheidung+Familie | Wien+25km | P1,Vermögensaufteilung,Responsive search ad,https://drweiser.at/scheidung/vermoegensaufteilung,Scheidung,Wien,Aufteilung bei Scheidung,Anwalt Aufteilung Wien,Haus bei Scheidung,Ehewohnung & Scheidung,Aufteilungsverfahren,Immobilie & Scheidung,"Kanzlei Dr. Weiser, Wien 3",Familien- & Immobilienrecht,Rechtsanwalt seit 1990,Erstgespräch vereinbaren,Klare Kostenauskunft,Jetzt Termin anfragen,,,,1,1,,,,,,,,,,,,,,Aufteilung von Vermögen und Ehewohnung bei der Scheidung. Kanzlei in Wien 3.,"Immobilie, Ersparnisse, Schulden: Wir klären Ihre Ansprüche im Detail.",Familien- und Immobilienrecht aus einer Hand. Anwaltskanzlei seit 1990.,Termin nach Vereinbarung in Wien Landstraße. Jetzt Erstgespräch anfragen.,1,,,,Enabled
SUCHE | Stiftung+Nachfolge | AT | P2,Privatstiftung,Responsive search ad,https://drweiser.at/stiftungsrecht,Stiftungsrecht,,Privatstiftung Anwalt,Stiftungsrecht Wien,Privatstiftung gründen,Stiftung & Vermögen,Beratung Stiftungsvorstand,"Kanzlei Dr. Weiser, Wien 3",Rechtsanwalt seit 1990,Diskret und persönlich,Erstgespräch vereinbaren,Jetzt Termin anfragen,,,,,,1,1,,,,,,,,,,,,,,Stiftungsrecht und Privatstiftungen. Anwaltskanzlei in 1030 Wien seit 1990.,"Errichtung, laufende Beratung und Änderung der Stiftungserklärung.",Diskrete Betreuung direkt durch den Anwalt. Termin nach Vereinbarung.,"Kanzlei in Wien Landstraße, U3 Rochusgasse. Jetzt Erstgespräch anfragen.",1,,,,Enabled
SUCHE | Stiftung+Nachfolge | AT | P2,Stiftungsurkunden,Responsive search ad,https://drweiser.at/stiftungsrecht/urkunden,Stiftungsrecht,,Stiftungsurkunde Anwalt,Stiftungszusatzurkunde,Stiftungserklärung ändern,Begünstigtenregelung,"Kanzlei Dr. Weiser, Wien 3",Rechtsanwalt seit 1990,Erstgespräch vereinbaren,Jetzt Termin anfragen,,,,,,,,1,1,,,,,,,,,,,,,,Stiftungsurkunde und Zusatzurkunde erstellen oder anpassen. Kanzlei Wien 3.,Begünstigtenregelungen und Änderungsvorbehalte sorgfältig gestaltet.,Anwaltskanzlei in 1030 Wien seit 1990. Termin nach Vereinbarung.,"Kanzlei in Wien Landstraße, U3 Rochusgasse. Jetzt Erstgespräch anfragen.",1,,,,Enabled
SUCHE | Stiftung+Nachfolge | AT | P2,Vermögensnachfolge,Responsive search ad,https://drweiser.at/nachfolge,Nachfolge,,Vermögensnachfolge,Unternehmensnachfolge,Betriebsübergabe Anwalt,Nachfolge planen,Familienunternehmen,"Kanzlei Dr. Weiser, Wien 3",Rechtsanwalt seit 1990,Erb- & Gesellschaftsrecht,Erstgespräch vereinbaren,Jetzt Termin anfragen,,,,,,1,1,,,,,,,,,,,,,,Vermögens- und Unternehmensnachfolge rechtlich strukturiert. Kanzlei Wien 3.,"Erb-, Gesellschafts- und Stiftungsrecht in einer Hand. Anwalt seit 1990.",Wir strukturieren die Übergabe an die nächste Generation mit Ihnen.,"Kanzlei in Wien Landstraße, U3 Rochusgasse. Termin nach Vereinbarung.",1,,,,Enabled
